"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"28","I1",14,"Sassuolo","Bologna",1,"H",0.2,0.2,-11,-9,4,9,-4,-6,9,-2,2.38,3.2,3,0.236340315935743,0.265480961150126,0.498178722914131,14,2.00731174175892,3.76674845408033,4.23118669381776
"29","I1",14,"Torino","Inter",1,"D",0.5,0.6,0,5,-18,24,-7,5,11,22,3.4,3.5,2.05,0.408069975924582,0.216218849817351,0.375711174258067,14,2.66161900021937,4.62494366631188,2.45056009752802
"30","I1",14,"Verona","Parma",1,"H",0.7,0.6,5,1,-57,-11,-20,-5,-15,-8,2.3,3.2,3.1,0.415907317196767,0.24044626393152,0.343646418871713,14,2.90996776070962,4.15893340844257,2.40438183857895
"31","I1",14,"Inter","Verona",1,"H",0.6,0.7,5,4,13,-49,6,-20,8,-7,1.44,4.2,7.5,0.071952363788066,0.200894493898198,0.727153142313736,14,1.37522612749508,4.97773722213982,13.8980840566333
"32","I1",14,"Sampdoria","Atalanta",1,"H",0.4,0.6,-2,1,1,-11,-5,-3,-11,11,2.3,3.2,3.2,0.248703965695528,0.269323996258059,0.481972038046413,14,2.07480916123956,3.71300000703177,4.02084461019104
"33","I1",14,"Bologna","Livorno",1,"H",0.1,0.2,-10,-6,25,-2,-5,0,10,3,2,3.3,3.8,0.179713196282939,0.270286045917763,0.550000757799298,14,1.81817931306362,3.69978404399116,5.56442164895674
"34","I1",14,"Catania","Sassuolo",1,"D",0.4,0.4,-1,-8,-41,-16,-16,-4,-14,-8,1.83,3.5,4.33,0.358457625750459,0.2370422045986,0.404500169650941,14,2.47218684942194,4.21865803051135,2.78973002152325
"35","I1",14,"Chievo","Fiorentina",1,"A",0.2,0.6,-4,3,10,-20,-2,-3,15,-11,3.8,3.4,2,0.171548137836182,0.298805658266042,0.529646203897776,14,1.88805280325016,3.3466568397766,5.82926758992241
"36","I1",14,"Juventus","Genoa",1,"H",0.8,0.4,2,-2,73,-19,27,-6,16,-6,1.2,6,15,0.0377657069952277,0.168627982264972,0.7936063107398,14,1.26007062502792,5.93021387416388,26.4790488399003
"37","I1",14,"Lazio","Cagliari",1,"H",0.4,0.5,-1,-1,20,27,8,4,-9,0,1.83,3.4,4.5,0.23366816723874,0.353454668353281,0.412877164407979,14,2.42202787222173,2.82921712325636,4.27957308784083
"38","I1",14,"Napoli","Torino",1,"H",0.7,0.5,5,0,-8,1,1,-5,2,20,1.33,5,8.5,0.224663600412766,0.194915024515013,0.580421375072222,14,1.72288623911476,5.13044082921878,4.45109932433531
"39","I1",14,"Parma","Milan",1,"H",0.6,0.5,2,0,-8,9,0,11,-14,3,3.3,3.3,2.2,0.338272506136679,0.287042757881728,0.374684735981593,14,2.66891043047221,3.48380153319192,2.95619650388007
"40","I1",14,"Udinese","Roma",1,"A",0.4,1,-1,14,-1,-4,-1,13,7,-15,3.3,3.4,2.15,0.320620513624105,0.364217185025053,0.315162301350842,14,3.17296832683929,2.74561454295797,3.11895202429997
"41","I1",14,"Atalanta","Inter",1,"D",0.6,0.6,2,0,-21,9,-6,3,7,11,3.8,3.3,2,0.359840237591952,0.195143056801899,0.445016705606149,14,2.24710665330624,5.12444570864316,2.77901105971915
"42","I1",14,"Cagliari","Bologna",1,"A",0.4,0.3,-3,-8,29,18,5,0,1,13,1.75,3.5,4.75,0.182687276449537,0.228549278087527,0.588763445462936,14,1.69847501183385,4.37542401519656,5.47383495684345
"43","I1",14,"Fiorentina","Napoli",1,"A",0.6,0.7,2,6,-10,17,-4,10,-2,10,2.5,3.3,2.8,0.385327503562918,0.259623542444775,0.355048953992306,14,2.81651301533385,3.85173081987629,2.59519497246766
"44","I1",14,"Genoa","Parma",1,"H",0.3,0.7,-4,3,-38,-8,-15,2,-11,-11,2.4,3.2,3,0.430763952942902,0.30160704308178,0.267629003975318,14,3.73651579293037,3.31557244082278,2.32145701414471
"45","I1",14,"Juventus","Catania",1,"H",0.8,0.4,3,-1,60,-39,22,-12,17,-17,1.18,6.25,17,0.031674675336539,0.168006849990075,0.800318474673386,14,1.24950258134189,5.95213826138086,31.5709629025441
"46","I1",14,"Livorno","Torino",1,"D",0.1,0.3,-7,-3,3,-8,-2,-12,5,13,2.8,3.1,2.6,0.182905267024186,0.275817520532884,0.54127721244293,14,1.84748217181863,3.62558548879703,5.4673111183166
"47","I1",14,"Milan","Lazio",1,"D",0.5,0.6,0,3,-4,30,3,12,1,-5,1.73,3.5,5,0.359172845486949,0.319682563873956,0.321144590639095,14,3.11386219524964,3.12810304034686,2.7841748410692
"48","I1",14,"Sassuolo","Udinese",1,"A",0.5,0.4,-1,-1,-2,-4,0,-1,-6,8,2.88,3.3,2.4,0.236011448036311,0.271800062367725,0.492188489595963,14,2.03174194671009,3.6791750203761,4.23708260052769
"49","I1",14,"Verona","Sampdoria",1,"H",0.7,0.5,3,-1,-30,5,-10,1,-12,-13,2,3.4,3.75,0.350331608372428,0.28215671801463,0.367511673612943,14,2.72100200292735,3.54412968451154,2.85443841235395
"50","I1",14,"Roma","Chievo",1,"H",1,0,13,-6,-12,5,10,-6,-16,7,1.22,6,12,0.146775610113459,0.247408890339614,0.605815499546927,14,1.65066757246698,4.04189194101844,6.81312105755847
