"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"28","I1",11,"Udinese","Roma",1,"A",0.8,0.6,12,1,11,10,22,2,6,-3,2.2,3.2,3.4,0.140966039672538,0.215753346474163,0.643280613853299,1,1.55453153486147,4.63492231449468,7.09390717312473
"29","I1",11,"Bologna","Parma",1,"D",0,0.6,-9,3,-14,-12,-19,3,-17,6,4.5,1.4,6.5,0.55343156376358,0.251398621111099,0.195169815125321,1,5.12374313291165,3.9777465587533,1.80690814452207
"30","I1",11,"Udinese","Lazio",1,"H",0.2,0.4,-7,2,2,15,2,-4,6,6,2.25,3,3.5,0.400066127082864,0.275079291127164,0.324854581789973,1,3.07830043365843,3.63531546087095,2.49958677404567
"31","I1",11,"Inter","Catania",1,"H",0.7,0.7,2,1,-3,21,0,4,-9,-8,1.53,3.75,7,0.266833181984245,0.304172925767894,0.428993892247861,1,2.33103551838502,3.28760358100732,3.74765983961861
"32","I1",11,"Lecce","Lazio",1,"A",0.5,0.4,0,2,6,13,-2,2,11,14,6,3.6,1.6,0.364254879644311,0.25331951858927,0.382425601766419,1,2.61488769418421,3.94758369023032,2.74533041527538
"33","I1",12,"Roma","Milan",1,"A",0.6,0.8,2,6,0,12,-5,11,-13,20,2.75,3.2,2.6,0.488182463286849,0.240059494038078,0.271758042675072,1,3.67974390070085,4.16563404004084,2.04841442535066
"34","I1",12,"Cagliari","Lazio",1,"A",0.6,0.8,2,4,4,33,3,-1,-2,-3,2.5,3.2,2.88,0.309247305512617,0.282071885989783,0.408680808497599,1,2.44689738105447,3.54519556775757,3.23365792417292
"35","I1",12,"Novara","Roma",1,"A",0.3,0.4,-5,0,8,5,-5,0,7,-2,4,3.4,1.91,0.321963637215486,0.28691615677291,0.391120206011603,1,2.556758726933,3.48533875278235,3.10594080949183
"36","I1",12,"Roma","Lecce",1,"H",0.4,0.4,0,-2,3,-31,3,-10,0,-33,1.36,4.5,9,0.125169802671134,0.244563248605341,0.630266948723525,1,1.58662928783636,4.08892180531069,7.98914737148991
"37","I1",12,"Inter","Udinese",1,"A",0.7,0.6,2,0,41,5,10,0,15,8,2,3.3,3.75,0.173266419409755,0.218984025733066,0.607749554857179,1,1.6454146152933,4.56654313780387,5.77145879395773
"38","I1",12,"Napoli","Lecce",1,"H",0.5,0.3,1,-3,9,-28,4,-13,8,-24,1.36,4.5,9,0.111105633900353,0.217533585838254,0.671360780261393,1,1.48951209156223,4.5969912928459,9.0004436759424
"39","I1",12,"Fiorentina","Roma",1,"H",0.3,0.4,-3,-1,8,32,-11,13,5,11,2.4,3.1,3.1,0.43154043004552,0.296459669134052,0.271999900820428,1,3.67647192879011,3.37314010678405,2.3172799820738
"40","I1",12,"Parma","Palermo",1,"D",0.4,0.6,-1,2,13,-26,-8,5,5,-2,2.1,3.2,3.6,0.287496537147641,0.252208896355253,0.460294566497106,1,2.17252184315386,3.96496719366882,3.47830276469195
"41","I1",12,"Catania","Palermo",1,"H",0.3,0.5,-5,0,9,-47,5,-4,0,-8,2.1,3.2,3.6,0.210111291447849,0.244590805125502,0.54529790342665,1,1.8338599758334,4.08846113199918,4.75938248301238
"42","I1",12,"Genoa","Bologna",1,"H",0.4,0.4,-2,-2,-32,-7,-9,0,2,-13,1.8,3.4,4.75,0.28132959925384,0.313519632688161,0.405150768057998,1,2.46821696721268,3.1895929177572,3.55454954847361
"43","I1",12,"Juventus","Novara",1,"H",0.8,0.3,6,-5,45,-29,11,-13,16,-6,1.22,6,13,0.0609308515109114,0.142907984610746,0.796161163878342,1,1.25602710276484,6.99750964037318,16.4120470205627
"44","I1",12,"Siena","Fiorentina",1,"D",0.1,0.4,-6,-1,4,13,-6,2,4,0,2.5,3.1,2.9,0.372916491886805,0.299739653143159,0.327343854970036,1,3.05489162181321,3.33622858875595,2.68156550261537
"45","I1",12,"Inter","Palermo",1,"D",0.8,0.5,9,1,27,0,16,-2,3,1,1.44,4.2,7.5,0.148223318098118,0.203129686851259,0.648646995050622,1,1.54167059684283,4.92296333195376,6.74657680607337
"46","I1",12,"Catania","Genoa",1,"H",0.3,0.6,-3,-2,16,-24,2,-8,11,-17,2.1,3.25,3.5,0.152427757227259,0.242554749153079,0.605017493619662,1,1.65284476985493,4.12278054126612,6.56048490242543
"47","I1",12,"Novara","Atalanta",1,"D",0.3,0.5,-5,-1,-49,-26,-14,-3,4,-7,2.6,3.2,2.75,0.338972406670172,0.298207658543607,0.362819934786221,1,2.75618813665576,3.35336793455883,2.95009263386156
"48","I1",12,"Chievo","Siena",1,"D",0.6,0.6,0,5,-22,2,-6,6,-33,6,2.5,2.4,4,0.483951023037846,0.266672780323376,0.249376196638778,1,4.01000582043724,3.74991402867352,2.06632479816413
"49","I1",12,"Novara","Lecce",1,"D",0.5,0.6,0,2,-38,-19,-9,-15,-10,-27,2.38,3.1,3.1,0.240204740069597,0.283198835061083,0.47659642486932,1,2.09821129118666,3.53108797140465,4.16311518128351
"50","I1",12,"Bologna","Palermo",1,"A",0.6,0.2,1,-8,18,-15,5,-11,-1,1,2.4,2.5,4,0.122409437817627,0.223009241531305,0.654581320651069,1,1.52769406711051,4.48411910256924,8.16930473522689
"51","I1",12,"Siena","Udinese",1,"H",0.7,0.5,6,1,-10,28,-3,6,-4,5,2.63,3,2.88,0.330381501903628,0.284376618364292,0.38524187973208,1,2.59577178030451,3.51646350446077,3.0268038441562
"52","I1",12,"Napoli","Atalanta",1,"A",0.4,0.4,-2,-1,-4,10,-7,0,-5,21,1.44,4,8.5,0.412457178609076,0.262701351960203,0.324841469430721,1,3.07842469051899,3.80660393461353,2.42449410960014
"53","I1",12,"Catania","Bologna",1,"A",0.3,0.7,-3,2,-6,-5,7,2,4,-29,1.95,3.2,4.2,0.219509779513542,0.309553163869626,0.470937056616831,1,2.1234260204196,3.23046286298391,4.5556056874373
