"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"28","E0",11,"Everton","Birmingham",1,"D",0.6,0.5,2,-2,3,-9,4,-12,8,2,1.53,4,6.5,0.218451173189314,0.23258040309905,0.548968423711635,1,1.82159839584013,4.29958838610373,4.57768198449262
"29","E0",11,"Aston Villa","Wolves",1,"A",0.4,0.6,0,3,-12,-25,-6,-15,6,0,1.83,3.5,4.5,0.267776660810169,0.264718566601213,0.467504772588618,1,2.13901559648879,3.77759676187147,3.7344554113658
"30","E0",11,"Everton","Fulham",1,"H",0.7,0.7,3,2,30,-1,18,12,14,-9,2,3.25,4,0.171915870707275,0.251927688394042,0.576156440898683,1,1.73563971347818,3.96939298881626,5.81679862298881
"31","E0",11,"West Ham","Man United",1,"A",0.6,0.6,4,3,8,-5,5,-2,3,-10,4.5,3.6,1.8,0.228951081761939,0.247227146416961,0.523821771821101,1,1.90904627068752,4.04486325427003,4.3677452506636
"32","E0",11,"Wigan","Tottenham",1,"D",0.5,0.6,-3,0,7,34,5,20,3,7,3,3.25,2.4,0.372274591816924,0.266008247903859,0.361717160279217,1,2.76459098381752,3.75928193159417,2.68618923230672
"33","E0",11,"Chelsea","Wigan",1,"H",0.8,0.4,5,-4,38,9,24,2,31,14,1.2,6,17,0.130849896476608,0.188656745182422,0.68049335834097,1,1.4695220574055,5.30063210320441,7.64234460192157
"34","E0",11,"Sunderland","West Brom",1,"A",0.1,0.7,-10,3,-21,13,-12,15,-7,-7,2.2,3.2,3.5,0.462806704012262,0.30007778516369,0.237115510824049,1,4.21735379741585,3.33246927777246,2.16072928790916
"35","E0",11,"Wolves","Everton",1,"A",0.6,0.8,2,4,-9,31,-9,18,-7,10,2.6,3.25,2.8,0.45464540397535,0.245490352503283,0.299864243521367,1,3.33484242154649,4.07347983251857,2.19951635110825
"36","E0",11,"Wolves","Fulham",1,"D",0.5,0.5,-1,1,6,-5,1,-5,11,-17,2.5,3.25,2.88,0.234806038006331,0.261954154222764,0.503239807770905,1,1.98712419915564,3.81746188743243,4.25883426376385
"37","E0",11,"Blackpool","Bolton",1,"H",0.3,0.4,-4,-1,5,0,0,4,-1,-7,2.2,3.4,3.25,0.274177671598479,0.272699835391689,0.453122493009832,1,2.20690876181753,3.66703558351497,3.64727001352779
"38","E0",11,"Tottenham","Birmingham",1,"H",0.4,0.1,0,-10,17,-42,11,-31,10,-14,1.53,4,6.5,0.0889531986529456,0.179468882008881,0.731577919338174,1,1.3669083956288,5.57199659799806,11.2418666798205
"39","E0",12,"Newcastle","Blackburn",1,"H",0.7,0.3,2,-3,-4,-8,11,-8,-1,-14,1.83,3.5,4.5,0.18694077457781,0.231665201687851,0.581394023734339,1,1.72000392019327,4.3165740590916,5.34928777447517
"40","E0",12,"Aston Villa","West Brom",1,"A",0.5,0.6,-1,0,-35,-8,-26,0,-25,-4,2,3.3,4,0.413070630020096,0.261060507952442,0.325868862027461,1,3.06871909693455,3.83052958811438,2.42089349211623
"41","E0",12,"Man United","Man City",1,"A",0.8,0.9,9,12,-16,50,-7,22,-2,15,2,3.4,3.8,0.534553776581123,0.212972276217315,0.252473947201562,1,3.9608047130568,4.69544683355692,1.87071917515158
"42","E0",12,"Liverpool","Swansea",1,"D",0.8,0.5,5,-1,30,-7,16,2,28,19,1.29,5.5,10,0.143802904936997,0.204245464148058,0.651951630914945,1,1.53385612149878,4.89606956106059,6.95396244212259
"43","E0",12,"Norwich","Newcastle",1,"H",0.3,0.5,-5,-2,-29,-30,-20,-15,-7,-10,2.4,3.4,2.88,0.304476263477042,0.283131891275244,0.412391845247714,1,2.42487821115697,3.53192286286062,3.28432827104567
"44","E0",12,"West Brom","Wigan",1,"A",0.3,0.3,-6,-7,-15,7,-4,-5,-15,12,1.67,3.8,5.25,0.359785030509018,0.251306619566722,0.38890834992426,1,2.57129989673596,3.9792027831344,2.77943748405879
"45","E0",12,"Newcastle","West Brom",1,"A",0.2,0.5,-7,-1,-10,-3,-10,-4,-3,10,2,3.5,3.75,0.37644873489764,0.272408936901485,0.351142328200874,1,2.84784806526641,3.67095151640213,2.65640419876005
"46","E0",12,"Liverpool","Blackburn",1,"D",0.6,0.2,2,-3,29,6,19,11,36,-14,1.25,5.5,13,0.113663820933984,0.209094666070586,0.67724151299543,1,1.47657811993393,4.7825227625004,8.79787422051213
"47","E0",12,"Blackburn","Stoke",1,"A",0.3,0.6,-2,-1,-45,-26,-19,-27,-38,-7,2.5,3.25,2.88,0.413441489782126,0.257001063969671,0.329557446248204,1,3.03437234201304,3.89103447493125,2.41872193457647
"48","E0",12,"Newcastle","QPR",1,"H",0.5,0.1,2,-5,23,-17,8,-14,10,-13,1.73,3.6,5,0.125892902455522,0.193632911018519,0.680474186525959,1,1.46956346001209,5.16441133245349,7.94325955232705
"49","E0",12,"Norwich","Chelsea",1,"D",0.6,0.6,0,0,-9,41,0,16,-6,21,5.5,4,1.62,0.454155874794259,0.233903948914479,0.311940176291262,1,3.20574288278369,4.27525915932964,2.2018871834544
"50","E0",12,"QPR","Wigan",1,"H",0.1,0.2,-4,-9,-3,-8,0,-4,-9,-16,2,3.4,3.8,0.207039581967417,0.253937444853209,0.539022973179375,1,1.85520849714734,3.9379777195839,4.82999429624707
"51","E0",12,"Man City","Tottenham",1,"H",0.7,0.8,6,5,43,41,30,25,16,18,1.91,3.6,4,0.263370204759874,0.24050037966847,0.496129415571656,1,2.01560312413197,4.15799759392688,3.79693671465891
