"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"27","D1",12,"Werder Bremen","Dortmund",1,"A",0.7,0.5,3,3,8,32,0,12,-2,4,2.8,3.5,2.4,0.360330900422003,0.238706743945099,0.400962355632898,1,2.4939997133186,4.18924067025937,2.77522687848543
"28","D1",12,"Mainz","Augsburg",1,"A",0.2,0.2,-7,-8,-14,-22,-19,-18,-4,0,1.67,3.75,5,0.252941749448362,0.270064955900943,0.476993294650695,1,2.09646552942071,3.70281289056544,3.95347941643042
"29","D1",12,"Leverkusen","Hamburg",1,"D",0.5,0.6,-1,1,-26,16,-4,6,-6,4,1.62,3.75,5.5,0.413764502313718,0.246906658706556,0.339328838979726,1,2.94699384528218,4.05011353374833,2.41683371678365
"30","D1",12,"Mainz","Bayern Munich",1,"H",0.4,0.6,-1,7,20,44,6,20,15,10,9,5,1.33,0.446750925037469,0.225071589128023,0.328177485834508,1,3.04713163810474,4.44303078800048,2.23838372559862
"31","D1",12,"FC Koln","Freiburg",1,"H",0.3,0.5,-6,0,-74,9,-22,8,-8,1,2.3,3.4,3,0.59565871739815,0.201799384589392,0.202541898012458,1,4.93725006930907,4.95541649958316,1.67881367432684
"32","D1",12,"Hoffenheim","Hertha",1,"D",0.4,0.3,-2,-2,-5,-19,-4,-4,10,-2,1.91,3.5,4,0.271102721198098,0.245115556162036,0.483781722639866,1,2.06704791273071,4.07970842674277,3.68863874025553
"33","D1",12,"M'gladbach","Bayern Munich",1,"H",0.7,0.6,8,5,14,36,9,9,-9,13,5,3.75,1.67,0.323693181828849,0.251148456625804,0.425158361545347,1,2.35206476091695,3.98170872094962,3.08934526933825
"34","D1",12,"Wolfsburg","FC Koln",1,"H",0.5,0.4,-1,-2,-1,-28,0,-11,5,-10,1.8,3.75,4.2,0.198443821991886,0.262064367340247,0.539491810667867,1,1.85359625526483,3.81585642546232,5.03920953528545
"35","D1",12,"Freiburg","Bayern Munich",1,"D",0.3,0.7,-5,5,4,44,-8,29,6,21,9,5.5,1.3,0.591109099554433,0.170647616412875,0.238243284032692,1,4.19739009248536,5.86002911157307,1.69173508029868
"36","D1",12,"Wolfsburg","Leverkusen",1,"H",0.4,0.7,-4,6,15,5,4,10,13,0,2.88,3.4,2.38,0.351606337361543,0.252741356967851,0.395652305670607,1,2.52747168579003,3.95661403419308,2.84408980652627
