"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"27","D1",14,"Nurnberg","Hamburg",1,"A",0.3,0.3,-3,-3,-58,-15,-21,-3,-28,-2,2.38,3.5,2.8,0.389681814111398,0.293678747005684,0.316639438882918,14,3.15816628379563,3.40508126718699,2.56619622416901
"28","D1",14,"Hoffenheim","Leverkusen",1,"A",0.4,0.7,-4,5,-18,-13,-9,1,-10,-12,3.25,3.6,2.1,0.383132700606331,0.284600633364643,0.332266666029027,14,3.00963082439525,3.51369562385603,2.61006173165966
"29","D1",14,"Bayern Munich","Mainz",1,"H",0.8,0.1,7,-9,47,3,25,-7,30,0,1.1,9,23,0.10575968558749,0.183159367898488,0.711080946514022,14,1.40630965419952,5.45972620168807,9.45539876035988
"30","D1",14,"Braunschweig","Schalke 04",1,"A",0.3,0.7,-9,2,-11,-4,-13,5,-2,4,4.75,3.6,1.73,0.476920990549879,0.210077735786396,0.313001273663724,14,3.19487517828556,4.76014269792389,2.09678336624903
"31","D1",14,"Dortmund","Hannover",1,"H",0.7,0.5,8,0,81,-6,35,0,27,4,1.22,6.5,11,0.09894370207729,0.143316365220859,0.757739932701851,14,1.31971400323899,6.97757020601896,10.1067574692005
"32","D1",14,"Ein Frankfurt","Nurnberg",1,"D",0.5,0.3,2,-6,1,-46,1,-24,16,-18,1.57,4,5.5,0.0779784708924892,0.205060000583035,0.716961528524476,14,1.39477497775651,4.87662146277557,12.8240524410734
"33","D1",14,"Hertha","M'gladbach",1,"H",0.4,0.7,-1,7,-1,-16,-1,2,-3,-12,2.38,3.4,2.9,0.316308908979183,0.301318071489296,0.382373019531521,14,2.61524728189554,3.31875215800166,3.16146643870158
"34","D1",14,"Werder Bremen","Freiburg",1,"D",0.4,0.3,-4,-6,-30,-41,-14,-24,-11,-16,1.95,3.4,3.8,0.169789044989233,0.28756892617169,0.542642028839076,14,1.84283551006801,3.47742718002487,5.88966149178477
"35","D1",14,"Augsburg","Wolfsburg",1,"A",0.5,0.4,-2,-2,32,21,4,2,11,-2,2.38,3.4,2.88,0.314199627347165,0.267560416269197,0.418239956383638,14,2.39097194023885,3.73747362911068,3.1826899619301
"36","D1",14,"Hamburg","Stuttgart",1,"D",0.5,0.8,3,9,-5,6,6,11,-6,0,2.3,3.4,3,0.356213700604197,0.27013328617619,0.373653013219613,14,2.6762797692528,3.70187626321536,2.80730358855888
"37","D1",14,"Stuttgart","Nurnberg",1,"D",0.7,0.4,5,-5,-6,-34,4,-17,-8,-13,1.62,4,5,0.108725821885011,0.182861467395792,0.708412710719197,14,1.41160651816196,5.46862066810151,9.19744714422676
"38","D1",14,"Bayern Munich","Hertha",1,"H",0.9,0.6,10,2,43,1,22,-1,30,-1,1.1,9,21,0.105634655786174,0.17156060817025,0.722804736043576,14,1.38349951257059,5.82884387427466,9.4665902260732
"39","D1",14,"Hannover","Hoffenheim",1,"A",0.3,0.4,-4,-1,-17,-9,-6,-1,-6,-14,2.3,3.5,2.9,0.356209459055661,0.307908699339743,0.335881841604595,14,2.97723745714487,3.2477159695206,2.80733701640343
"40","D1",14,"Leverkusen","Augsburg",1,"H",0.9,0.3,8,-4,-20,13,-1,0,-14,2,1.5,4.33,6,0.245311885763746,0.240607035055562,0.514081079180692,14,1.94521844996461,4.15615445229636,4.07644332799707
"41","D1",14,"Mainz","Braunschweig",1,"H",0.1,0.3,-9,-6,1,-2,-6,-7,-1,-5,1.57,4.1,5.25,0.337348892826014,0.283855365283112,0.378795741890875,14,2.63994519845496,3.52292090375893,2.96429014965153
"42","D1",14,"Schalke 04","Dortmund",1,"A",0.7,0.7,1,8,-5,90,5,34,16,37,4.2,3.6,1.83,0.654675795363855,0.20148328234959,0.143840922286555,14,6.95212450048,4.96319093246117,1.52747360919953
"43","D1",14,"Wolfsburg","Werder Bremen",1,"H",0.4,0.5,-3,-1,13,-13,-2,-6,-3,-16,1.62,3.75,5.5,0.264185695804329,0.264360007694699,0.471454296500971,14,2.12109637651364,3.7827204225038,3.78521629248487
"44","D1",14,"Freiburg","Hamburg",1,"A",0.3,0.4,-6,-1,-39,-3,-21,1,-12,-1,2.6,3.4,2.6,0.444151494805992,0.284480850161327,0.271367655032681,14,3.68503755497157,3.51517509678739,2.25148403572706
"45","D1",14,"M'gladbach","Ein Frankfurt",1,"H",0.5,0.6,3,3,-18,5,-2,4,-10,19,2.05,3.5,3.4,0.294325202581534,0.233673688867432,0.472001108551034,14,2.11863909190772,4.27947196300445,3.39760235015205
"46","D1",14,"Dortmund","Stuttgart",1,"H",0.7,0.6,6,4,60,8,25,5,32,-7,1.22,6,12,0.172918156319951,0.231018418836862,0.596063424843188,14,1.67767381510295,4.3286591823926,5.78308270965889
"47","D1",14,"Braunschweig","Leverkusen",1,"H",0.2,0.9,-8,7,-19,-7,-14,3,0,-9,7,4.33,1.44,0.425820260188567,0.26103796490586,0.313141774905573,14,3.19344169362758,3.83086038983118,2.34840869139756
"48","D1",14,"Ein Frankfurt","Wolfsburg",1,"A",0.4,0.6,-3,2,1,24,2,10,16,-1,2.3,3.4,3,0.407973837697949,0.264138740637351,0.327887421664701,14,3.04982726974689,3.78588917925125,2.4511375671603
"49","D1",14,"Hamburg","M'gladbach",1,"A",0.6,0.7,6,7,33,-22,18,-1,4,-13,2.3,3.5,2.9,0.167207399305334,0.246773723785456,0.586018876909211,14,1.70642967215359,4.05229529570741,5.98059657739142
"50","D1",14,"Hertha","Schalke 04",1,"A",0.6,0.5,2,-2,-13,1,-4,-3,-3,12,2.3,3.4,3,0.232878158740655,0.207235799156393,0.559886042102952,14,1.78607774582835,4.82542111001459,4.29409097619004
