"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","H_odds","D_odds","A_odds"
"29","I1",11,"Bari","Cesena",1,"D",0.1,0.2,-5,-4,1,-18,-9,-2,-3,10,1.91,3.3,4.2,0.350075435037264,0.312311080065426,0.33761348489731,2.96196699697634,3.20193571035171,2.85652719361344
"30","I1",11,"Lazio","Inter",1,"H",0.4,0.4,-1,1,12,29,0,6,-2,7,2.7,3.1,2.7,0.370256986080067,0.309766789443056,0.319976224476877,3.12523220009512,3.22823502738284,2.7008268245984
"31","I1",11,"Cesena","Bologna",1,"A",0.3,0.4,-3,-3,-14,-27,-4,-14,8,-5,2.2,3,3.6,0.207119123581772,0.243991353134248,0.54888952328398,1.82186024250754,4.09850589848479,4.82813939488883
"32","I1",11,"Lecce","Genoa",1,"A",0.1,0.5,-8,-1,-7,5,-1,-1,-1,9,3.5,3.1,2.2,0.392534684146064,0.296780418426921,0.310684897427015,3.21869523842856,3.36949454179114,2.54754558103685
"33","I1",11,"Sampdoria","Bari",1,"H",0.5,0.2,0,-3,-31,-6,-7,-4,-14,-13,1.73,3.25,5.5,0.268041367650358,0.312970719813617,0.418987912536025,2.38670369736267,3.1951870788281,3.73076741387335
"34","I1",11,"Brescia","Sampdoria",1,"H",0.2,0.6,-5,3,12,-14,1,-4,15,-12,2.9,3.1,2.55,0.253648715597,0.276170641977513,0.470180642425487,2.1268421320822,3.62094968835038,3.94246033395577
"35","I1",11,"Roma","Bari",1,"H",0.6,0.2,1,-5,-6,-22,-2,-6,3,-21,1.4,4.5,7.5,0.13699086052906,0.25044002151574,0.6125691179552,1.63246884423112,3.99297202558797,7.29975705049223
"36","I1",11,"Catania","Brescia",1,"H",0.3,0.3,-6,-4,-6,-6,-4,-1,3,4,1.91,3.2,4.33,0.285946443635479,0.301387737380065,0.412665818984456,2.42326830572238,3.31798502717099,3.49715837443598
"37","I1",11,"Chievo","Juventus",1,"D",0.4,0.8,-1,5,-1,26,-4,11,-6,-15,4,3.2,2,0.390928821269486,0.304657329322336,0.304413849408178,3.28500165792107,3.28237630857051,2.55801042438529
"38","I1",11,"Lazio","Udinese",1,"H",0.6,0.6,3,4,10,28,7,6,1,1,2,3.2,4,0.3123505655521,0.28520181721033,0.40244761723757,2.48479542968616,3.50628901940875,3.20153094082745
"39","I1",11,"Parma","Bologna",1,"D",0.5,0.6,-3,-2,-31,-9,-1,-10,0,0,1.75,3.4,5,0.243394173889284,0.243192260199052,0.513413565911664,1.94774752050875,4.11197296814258,4.10856177870093
"40","I1",11,"Cagliari","Milan",1,"A",0.6,0.7,3,6,-1,41,-4,13,-4,4,4.33,3.25,1.91,0.437679020844324,0.287664699931331,0.274656279224344,3.64091439243295,3.47626942144348,2.28477937569616
"41","I1",11,"Juventus","Parma",1,"A",0.8,0.4,5,-4,15,-17,11,1,-14,10,1.44,4,8,0.182080185118369,0.248821174992221,0.569098639889411,1.75716462825201,4.01895055768973,5.49208580466847
"42","I1",11,"Lecce","Bari",1,"A",0.2,0.2,-4,-5,-1,-57,5,-18,-9,-26,2.3,3.1,3.3,0.137737702305696,0.258094807656395,0.60416749003791,1.65517015809184,3.87454520716788,7.26017628623277
"43","I1",11,"Cesena","Roma",1,"A",0.6,0.7,0,3,-5,-8,0,7,1,4,3.75,3.4,2,0.304328152089707,0.274522096222232,0.421149751688061,2.37445230821526,3.64269402631429,3.28592669831357
"44","I1",11,"Juventus","Bari",1,"H",0.5,0.3,-3,-5,-10,-64,-5,-16,-7,-17,1.36,4.5,9,0.130089930831124,0.228746941827685,0.641163127341191,1.55966548504879,4.37164314421,7.68699001998969
"45","I1",11,"Milan","Cesena",1,"H",0.6,0.5,3,0,26,-20,10,-5,6,-8,1.22,5.5,15,0.148126420494402,0.226120359354689,0.625753220150909,1.59807407744356,4.42242353963101,6.75099011143521
"46","I1",11,"Lazio","Fiorentina",1,"H",0.5,0.5,-1,0,4,0,0,7,-6,1,2.1,3.1,3.75,0.305236575264173,0.303135315773228,0.391628108962599,2.55344286355988,3.29885680739386,3.27614735925579
"47","I1",11,"Brescia","Chievo",1,"A",0.2,0.4,-2,-2,-13,9,-13,-8,-15,4,2.4,3,3.2,0.404715429972918,0.286890245950772,0.30839432407631,3.2426018312599,3.48565353515571,2.4708719409757
"48","I1",11,"Palermo","Juventus",1,"H",0.5,0.3,1,-6,-3,9,2,-10,12,-1,2.2,3.2,3.4,0.172534829460268,0.230607733049647,0.596857437490084,1.67544196852973,4.33636802537195,5.7959311933031
"49","I1",11,"Brescia","Bari",1,"H",0.3,0,-3,-9,-23,-26,-13,-6,-25,-10,2,3.1,4.2,0.265233067267318,0.335051197874511,0.399715734858171,2.50177792063859,2.98461848918545,3.77026895742279
"50","I1",11,"Napoli","Cesena",1,"H",0.7,0.2,7,-4,7,-35,14,-14,4,1,1.29,5,11,0.106778984427596,0.190911702596846,0.702309312975558,1.42387404171416,5.2380235805226,9.3651387055294
